index, name, code, price, PER, EPS, 최근분기년월, 최근거래량증가비율, 산업평균per, 산업per최대, 산업per최소
0, 동화약품, A000020, 21850, 35.52000045776367, 615, 202006, 0.23229737068973585, 139.9807861552519, 3833.330078125, 0.0
1, KR모터스, A000040, 767, 0.0, 0, 202006, 0.3982708162098895, 11.026393452628714, 172.1699981689453, 0.0
2, 경방, A000050, 10550, 7.139999866485596, 1476, 202006, 0.3119606161811435, 112.82203112542629, 5010.0, 0.0
3, 메리츠화재, A000060, 12850, 4.150000095367432, 3093, 202006, 0.9831516021722442, 4.9700000286102295, 13.880000114440918, 0.0
4, 삼양홀딩스, A000070, 64000, 18.440000534057617, 3469, 202006, 0.3984776961298302, 10.04480001449585, 240.66000366210938, 0.0
5, 삼양홀딩스우, A000075, 47800, 0.0, 0, , 0.04186062819817386, 10.04480001449585, 240.66000366210938, 0.0
6, 하이트진로, A000080, 36250, 37.439998626708984, 968, 202006, 0.4659503842360941, 8.24617016569097, 51.2599983215332, 0.0
7, 하이트진로2우B, A000087, 21300, 0.0, 0, , 0.07991086101469638, 8.24617016569097, 51.2599983215332, 0.0
8, 유한양행, A000100, 64200, 25.889999389648438, 2479, 202006, 0.21846341782494186, 139.9807861552519, 3833.330078125, 0.0
9, 유한양행우, A000105, 64900, 0.0, 0, , 0.10013316893291006, 139.9807861552519, 3833.330078125, 0.0
10, CJ대한통운, A000120, 177500, 44.79999923706055, 3962, 202006, 1.2181621233972624, 6.43250003031322, 44.79999923706055, 0.0
11, 하이트진로홀딩스, A000140, 16950, 10.800000190734863, 1569, 202006, 0.5454474401634573, 10.04480001449585, 240.66000366210938, 0.0
12, 하이트진로홀딩스우, A000145, 16200, 0.0, 0, , 0.032768853797985296, 10.04480001449585, 240.66000366210938, 0.0
13, 두산, A000150, 46850, 13.550000190734863, 3456, 202006, 0.3241015874837362, 15.075483806671635, 85.83999633789062, 0.0
14, 두산우, A000155, 38800, 0.0, 0, , 0.1721438624387589, 15.075483806671635, 85.83999633789062, 0.0
15, 두산2우B, A000157, 85000, 0.0, 0, , 0.3306200242096932, 15.075483806671635, 85.83999633789062, 0.0
16, 성창기업지주, A000180, 1635, 0.0, 0, 202006, 0.21575644821946927, 15.075483806671635, 85.83999633789062, 0.0
17, 대림산업, A000210, 77400, 4.349999904632568, 17773, 202006, 0.6317351308852458, 7.578055481115977, 50.709999084472656, 0.0
18, 대림산업우, A000215, 40900, 0.0, 0, , 0.8121108250539815, 7.578055481115977, 50.709999084472656, 0.0
19, 유유제약, A000220, 16000, 35.38999938964844, 452, 202006, 0.10337778201489072, 139.9807861552519, 3833.330078125, 0.0
20, 유유제약1우, A000225, 15250, 0.0, 0, , 0.0614557966955445, 139.9807861552519, 3833.330078125, 0.0
21, 유유제약2우B, A000227, 35450, 0.0, 0, , 0.06513303405402941, 139.9807861552519, 3833.330078125, 0.0
22, 일동홀딩스, A000230, 9110, 0.0, 0, 202006, 0.9323819667138082, 139.9807861552519, 3833.330078125, 0.0
23, 한국테크놀로지그룹, A000240, 16750, 12.390000343322754, 1351, 202006, 0.37736802925150004, 10.04480001449585, 240.66000366210938, 0.0
25, 기아차, A000270, 46900, 17.850000381469727, 2626, 202006, 0.7660035268938384, 11.026393452628714, 172.1699981689453, 0.0
26, 대유플러스, A000300, 811, 47.70000076293945, 17, 202006, 0.2356434261954689, 16.02082196327105, 180.38999938964844, 0.0
27, 노루홀딩스, A000320, 9120, 34.939998626708984, 261, 202006, 0.17655589402042554, 10.04480001449585, 240.66000366210938, 0.0
28, 노루홀딩스우, A000325, 17450, 0.0, 0, , 0.5461968319771432, 10.04480001449585, 240.66000366210938, 0.0
29, 한화손해보험, A000370, 2865, 0.0, 0, 202006, 0.3007715030748242, 4.9700000286102295, 13.880000114440918, 0.0
30, 삼화페인트, A000390, 4925, 31.170000076293945, 158, 202006, 0.40422725332807596, 15.11371899833364, 294.3699951171875, 0.0
31, 롯데손해보험, A000400, 1645, 0.0, 0, 202006, 2.9718989128159343, 4.9700000286102295, 13.880000114440918, 0.0
32, 대원강업, A000430, 4085, 0.0, 0, 202006, 1.471292015432258, 11.026393452628714, 172.1699981689453, 0.0
34, 조선내화, A000480, 73100, 6.159999847412109, 11859, 202006, 0.2219346188582974, 30.470333592096964, 215.8800048828125, 0.0
35, 대동공업, A000490, 6510, 26.56999969482422, 245, 202006, 0.19558263174683577, 18.594418570052746, 336.0, 0.0
36, 가온전선, A000500, 21550, 10.279999732971191, 2095, 202006, 0.35546675523713095, 16.02082196327105, 180.38999938964844, 0.0
37, 삼일제약, A000520, 23300, 208.02999877929688, 112, 202006, 0.6679314255138197, 139.9807861552519, 3833.330078125, 0.0
38, 흥국화재, A000540, 2715, 7.659999847412109, 354, 202006, 0.7297013839413332, 4.9700000286102295, 13.880000114440918, 0.0
39, 흥국화재우, A000545, 10700, 0.0, 0, , 4.137516854586721, 4.9700000286102295, 13.880000114440918, 0.0
40, 흥국화재2우B, A000547, 23800, 0.0, 0, , 0.1890039866616192, 4.9700000286102295, 13.880000114440918, 0.0
41, CS홀딩스, A000590, 53200, 5.360000133514404, 9924, 202006, 0.12965304822970192, 10.04480001449585, 240.66000366210938, 0.0
42, 동아쏘시오홀딩스, A000640, 125000, 26.110000610351562, 4786, 202006, 1.1672948380967998, 10.04480001449585, 240.66000366210938, 0.0
43, 천일고속, A000650, 65000, 0.0, 0, 202006, 0.42173285198555954, 6.43250003031322, 44.79999923706055, 0.0
44, SK하이닉스, A000660, 84000, 26.75, 3140, 202006, 1.196067518383092, 16.02082196327105, 180.38999938964844, 0.0
45, 영풍, A000670, 469000, 3.859999895095825, 121296, 202006, 0.4490198369803383, 94.5701960442113, 3475.0, 0.0
46, LS네트웍스, A000680, 2150, 0.0, 0, 202006, 0.30495259618960374, 112.82203112542629, 5010.0, 0.0
47, 유수홀딩스, A000700, 5290, 15.329999923706055, 345, 202006, 0.3020763442651741, 15.075483806671635, 85.83999633789062, 0.0
48, 현대건설, A000720, 30450, 10.069999694824219, 3022, 202006, 0.4574239278515488, 7.578055481115977, 50.709999084472656, 0.0
49, 현대건설우, A000725, 194500, 0.0, 0, , 0.040948240822033626, 7.578055481115977, 50.709999084472656, 0.0
50, 이화산업, A000760, 14050, 0.0, 0, 202006, 2.6338536779550172, 112.82203112542629, 5010.0, 0.0
52, 삼성화재, A000810, 182000, 13.880000114440918, 13112, 202006, 0.6009450958750673, 4.9700000286102295, 13.880000114440918, 0.0
53, 삼성화재우, A000815, 138500, 0.0, 0, , 1.1474702790977982, 4.9700000286102295, 13.880000114440918, 0.0
54, 화천기공, A000850, 30600, 12.15999984741211, 2516, 202006, 0.7050009621504804, 18.594418570052746, 336.0, 0.0
55, 강남제비스코, A000860, 15300, 7.630000114440918, 2003, 202006, 0.43457900309083974, 15.11371899833364, 294.3699951171875, 0.0
56, 한화, A000880, 25150, 13.170000076293945, 1909, 202006, 0.306698029564717, 15.11371899833364, 294.3699951171875, 0.0
57, 한화우, A000885, 56000, 0.0, 0, , 0.02916711315951127, 15.11371899833364, 294.3699951171875, 0.0
58, 한화3우B, A00088K, 12900, 0.0, 0, , 0.20088823208677037, 15.11371899833364, 294.3699951171875, 0.0
59, 보해양조, A000890, 900, 0.0, 0, 202006, 0.47961860076189944, 8.24617016569097, 51.2599983215332, 0.0
60, 유니온, A000910, 7730, 0.0, 0, 202006, 0.08253632488126127, 30.470333592096964, 215.8800048828125, 0.0
61, 전방, A000950, 26750, 0.0, 0, 202006, 0.2343584104700368, 7.400769123664269, 54.599998474121094, 0.0
62, 한국주철관, A000970, 8360, 20.34000015258789, 411, 202006, 0.10126809862003014, 94.5701960442113, 3475.0, 0.0
63, DB하이텍, A000990, 37500, 10.260000228881836, 3654, 202006, 0.8829889622433256, 16.02082196327105, 180.38999938964844, 0.0
64, DB하이텍1우, A000995, 142000, 0.0, 0, , 1.7152779490908145, 16.02082196327105, 180.38999938964844, 0.0
66, 페이퍼코리아, A001020, 1695, 0.0, 0, 202006, 0.7259687921854436, 6.748571395874023, 32.72999954223633, 0.0
67, CJ, A001040, 81200, 15.770000457763672, 5146, 202006, 0.6556051382303533, 10.04480001449585, 240.66000366210938, 0.0
68, CJ우, A001045, 45850, 0.0, 0, , 0.11001994097836713, 10.04480001449585, 240.66000366210938, 0.0
69, CJ4우(전환), A00104K, 58800, 0.0, 0, , 1.0423670789458956, 10.04480001449585, 240.66000366210938, 0.0
70, JW중외제약, A001060, 33600, 0.0, 0, 202006, 0.19777435344024008, 139.9807861552519, 3833.330078125, 0.0
71, JW중외제약우, A001065, 61000, 0.0, 0, , 0.041538343645886294, 139.9807861552519, 3833.330078125, 0.0
72, JW중외제약2우B, A001067, 82400, 0.0, 0, , 0.09173654395695845, 139.9807861552519, 3833.330078125, 0.0
73, 대한방직, A001070, 34000, 0.0, 0, 202006, 0.6268443474646717, 7.400769123664269, 54.599998474121094, 0.0
74, 만호제강, A001080, 14800, 48.36000061035156, 306, 202006, 0.1650788794827303, 94.5701960442113, 3475.0, 0.0
75, LG상사, A001120, 15450, 5.010000228881836, 3078, 202006, 0.6034091219958446, 112.82203112542629, 5010.0, 0.0
76, 대한제분, A001130, 158000, 10.789999961853027, 14635, 202006, 0.4448843155473841, 8.24617016569097, 51.2599983215332, 0.0
77, 국보, A001140, 1990, 0.0, 0, 202006, 0.34856036665897444, 6.43250003031322, 44.79999923706055, 0.0
78, 유진투자증권, A001200, 3610, 5.510000228881836, 654, 202006, 0.34767382116313345, 13.55636376323122, 240.66000366210938, 0.0
79, 금호전기, A001210, 4820, 0.0, 0, 202006, 1.5580048837850522, 16.02082196327105, 180.38999938964844, 0.0
80, 동국제강, A001230, 6340, 0.0, 0, 202006, 0.747103222663917, 94.5701960442113, 3475.0, 0.0
81, GS글로벌, A001250, 1665, 0.0, 0, 202006, 0.42620313358436296, 112.82203112542629, 5010.0, 0.0
82, 남광토건, A001260, 10100, 18.1299991607666, 557, 202006, 0.2245231883976313, 7.578055481115977, 50.709999084472656, 0.0
83, 부국증권, A001270, 20400, 7.329999923706055, 2780, 202006, 0.3525958998095316, 13.55636376323122, 240.66000366210938, 0.0
84, 부국증권우, A001275, 19250, 0.0, 0, , 0.29281344740902177, 13.55636376323122, 240.66000366210938, 0.0
85, 상상인증권, A001290, 981, 28.020000457763672, 35, 202006, 0.6536101573939479, 13.55636376323122, 240.66000366210938, 0.0
86, 백광산업, A001340, 3405, 12.800000190734863, 266, 202006, 0.13181710727769003, 15.11371899833364, 294.3699951171875, 0.0
87, 삼성제약, A001360, 3865, 0.0, 0, 202006, 0.1398895155251845, 139.9807861552519, 3833.330078125, 0.0
88, SG충방, A001380, 1835, 0.0, 0, 202006, 0.1783244404982626, 11.026393452628714, 172.1699981689453, 0.0
89, KG케미칼, A001390, 20100, 2.009999990463257, 9977, 202006, 0.34423491375474496, 15.11371899833364, 294.3699951171875, 0.0
90, 태원물산, A001420, 3960, 172.1699981689453, 23, 202006, 0.33235342698297365, 11.026393452628714, 172.1699981689453, 0.0
91, 세아베스틸, A001430, 9760, 29.479999542236328, 331, 202006, 0.470015300120886, 94.5701960442113, 3475.0, 0.0
92, 대한전선, A001440, 809, 53.93000030517578, 15, 202006, 0.2074491799043305, 16.02082196327105, 180.38999938964844, 0.0
93, 현대해상, A001450, 22350, 6.559999942779541, 3404, 202006, 0.7408014521145937, 4.9700000286102295, 13.880000114440918, 0.0
94, BYC, A001460, 225500, 6.809999942779541, 33069, 202006, 0.30267239322357437, 7.400769123664269, 54.599998474121094, 0.0
95, BYC우, A001465, 123000, 0.0, 0, , 0.19969436268960833, 7.400769123664269, 54.599998474121094, 0.0
96, 삼부토건, A001470, 1775, 50.709999084472656, 35, 202006, 1.0124234491757291, 7.578055481115977, 50.709999084472656, 0.0
98, 현대차증권, A001500, 10100, 4.809999942779541, 2099, 202006, 0.8783324932983976, 13.55636376323122, 240.66000366210938, 0.0
99, SK증권, A001510, 722, 240.66000366210938, 3, 202006, 0.2444803745748318, 13.55636376323122, 240.66000366210938, 0.0
100, SK증권우, A001515, 5260, 0.0, 0, , 0.06389351382031692, 13.55636376323122, 240.66000366210938, 0.0
101, 동양, A001520, 1085, 180.8300018310547, 6, 202006, 0.3376617769894229, 30.470333592096964, 215.8800048828125, 0.0
102, 동양우, A001525, 7290, 0.0, 0, , 0.6602804218311306, 30.470333592096964, 215.8800048828125, 0.0
103, 동양2우B, A001527, 13350, 0.0, 0, , 0.17779879591844902, 30.470333592096964, 215.8800048828125, 0.0
104, 동양3우B, A001529, 28600, 0.0, 0, , 1.1030826684773385, 30.470333592096964, 215.8800048828125, 0.0
105, DI동일, A001530, 87100, 10.5, 8294, 202006, 0.18665252870175464, 112.82203112542629, 5010.0, 0.0
